game_date,away_team,home_team,away_pct_538,home_pct_538
2021-09-02,MIL,SFG,42%,58%
2021-09-02,MIA,NYM,43%,57%
2021-09-02,BOS,TBR,38%,62%
2021-09-02,PIT,CHC,39%,61%
2021-09-02,CLE,KCR,53%,47%
2021-09-02,ATL,COL,57%,43%
2021-09-03,PIT,CHC,40%,60%
2021-09-03,BAL,NYY,35%,65%
2021-09-03,NYM,WSH,53%,47%
2021-09-03,OAK,TOR,43%,57%
2021-09-03,CLE,BOS,43%,57%
2021-09-03,DET,CIN,40%,60%
2021-09-03,PHI,MIA,57%,43%
2021-09-03,MIN,TBR,36%,64%
2021-09-03,CHW,KCR,56%,44%
2021-09-03,STL,MIL,44%,56%
2021-09-03,ATL,COL,56%,44%
2021-09-03,TEX,LAA,35%,65%
2021-09-03,SEA,ARI,52%,48%
2021-09-03,LAD,SFG,52%,48%
2021-09-03,HOU,SDP,58%,42%
2021-09-04,BAL,NYY,28%,72%
2021-09-04,NYM,WSH,53%,47%
2021-09-04,PIT,CHC,38%,62%
2021-09-04,OAK,TOR,39%,61%
2021-09-04,CLE,BOS,41%,59%
2021-09-04,MIN,TBR,33%,67%
2021-09-04,NYM,WSH,50%,50%
2021-09-04,PHI,MIA,51%,49%
2021-09-04,DET,CIN,39%,61%
2021-09-04,CHW,KCR,53%,47%
2021-09-04,STL,MIL,44%,56%
2021-09-04,SEA,ARI,54%,46%
2021-09-04,ATL,COL,55%,45%
2021-09-04,HOU,SDP,48%,52%
2021-09-04,LAD,SFG,55%,45%
2021-09-04,TEX,LAA,42%,58%
2021-09-05,BAL,NYY,27%,73%
2021-09-05,NYM,WSH,51%,49%
2021-09-05,OAK,TOR,40%,60%
2021-09-05,CLE,BOS,46%,54%
2021-09-05,DET,CIN,40%,60%
2021-09-05,PHI,MIA,58%,42%
2021-09-05,MIN,TBR,33%,67%
2021-09-05,CHW,KCR,57%,43%
2021-09-05,STL,MIL,31%,69%
2021-09-05,PIT,CHC,38%,62%
2021-09-05,ATL,COL,62%,38%
2021-09-05,TEX,LAA,38%,62%
2021-09-05,SEA,ARI,53%,47%
2021-09-05,HOU,SDP,53%,47%
2021-09-05,LAD,SFG,59%,41%
2021-09-06,KCR,BAL,52%,48%
2021-09-06,TOR,NYY,44%,56%
2021-09-06,NYM,WSH,50%,50%
2021-09-06,TBR,BOS,49%,51%
2021-09-06,DET,PIT,53%,47%
2021-09-06,PHI,MIL,32%,68%
2021-09-06,CIN,CHC,55%,45%
2021-09-06,SFG,COL,58%,42%
2021-09-06,LAD,STL,64%,36%
2021-09-06,MIN,CLE,51%,49%
2021-09-06,SEA,HOU,37%,63%
2021-09-06,TEX,LAA,39%,61%
2021-09-07,MIN,CLE,42%,58%
2021-09-07,DET,PIT,53%,47%
2021-09-07,NYM,MIA,56%,44%
2021-09-07,KCR,BAL,53%,47%
2021-09-07,TOR,NYY,35%,65%
2021-09-07,TBR,BOS,54%,46%
2021-09-07,WSH,ATL,36%,64%
2021-09-07,CIN,CHC,53%,47%
2021-09-07,PHI,MIL,47%,53%
2021-09-07,LAD,STL,65%,35%
2021-09-07,SEA,HOU,39%,61%
2021-09-07,SFG,COL,63%,37%
2021-09-07,TEX,ARI,39%,61%
2021-09-07,CHW,OAK,51%,49%
2021-09-07,LAA,SDP,38%,62%
2021-09-08,SEA,HOU,37%,63%
2021-09-08,SFG,COL,56%,44%
2021-09-08,TEX,ARI,42%,58%
2021-09-08,MIN,CLE,42%,58%
2021-09-08,DET,PIT,47%,53%
2021-09-08,NYM,MIA,50%,50%
2021-09-08,KCR,BAL,49%,51%
2021-09-08,TOR,NYY,47%,53%
2021-09-08,TBR,BOS,53%,47%
2021-09-08,WSH,ATL,40%,60%
2021-09-08,CIN,CHC,49%,51%
2021-09-08,PHI,MIL,42%,58%
2021-09-08,LAD,STL,53%,47%
2021-09-08,LAA,SDP,38%,62%
2021-09-08,CHW,OAK,52%,48%
2021-09-09,LAD,STL,60%,40%
2021-09-09,CHW,OAK,41%,59%
2021-09-09,MIN,CLE,44%,56%
2021-09-09,NYM,MIA,58%,42%
2021-09-09,KCR,BAL,49%,51%
2021-09-09,TOR,NYY,44%,56%
