game_date,away_team,home_team,away_ml_dk,home_ml_dk
2021-09-01,Cardinals,Reds,105,-125
2021-09-01,Rockies,Rangers,-140,120
2021-09-01,Padres,Diamondbacks,-210,175
2021-09-01,Astros,Mariners,-130,110
2021-09-01,Cardinals,Reds,150,-170
2021-09-01,Yankees,Angels,-300,235
2021-09-01,Orioles,Blue Jays,200,-250
2021-09-01,Red Sox,Rays,100,-120
2021-09-01,Athletics,Tigers,-170,150
2021-09-01,Pirates,White Sox,280,-365
2021-09-01,Cubs,Twins,160,-190
2021-09-01,Indians,Royals,110,-130
2021-09-01,Brewers,Giants,155,-180
2021-09-01,Braves,Dodgers,180,-220
