game_date,away_team,home_team,away_pct_538,home_pct_538
2021-09-09,LAD,STL,62%,38%
2021-09-09,CHW,OAK,45%,55%
2021-09-09,MIN,CLE,43%,57%
2021-09-09,NYM,MIA,58%,42%
2021-09-09,KCR,BAL,49%,51%
2021-09-09,TOR,NYY,50%,50%
2021-09-09,COL,PHI,43%,57%
2021-09-09,WSH,ATL,37%,63%
2021-09-10,SFG,CHC,56%,44%
2021-09-10,WSH,PIT,51%,49%
2021-09-10,TOR,BAL,65%,35%
2021-09-10,COL,PHI,43%,57%
2021-09-10,MIL,CLE,52%,48%
2021-09-10,TBR,DET,59%,41%
2021-09-10,NYY,NYM,53%,47%
2021-09-10,MIA,ATL,39%,61%
2021-09-10,BOS,CHW,46%,54%
2021-09-10,LAA,HOU,36%,64%
2021-09-10,KCR,MIN,41%,59%
2021-09-10,CIN,STL,52%,48%
2021-09-10,TEX,OAK,41%,59%
2021-09-10,SDP,LAD,40%,60%
2021-09-10,ARI,SEA,38%,62%
2021-09-11,SFG,CHC,58%,42%
2021-09-11,TEX,OAK,37%,63%
2021-09-11,TOR,BAL,66%,34%
2021-09-11,COL,PHI,35%,65%
2021-09-11,MIL,CLE,57%,43%
2021-09-11,TBR,DET,59%,41%
2021-09-11,WSH,PIT,56%,44%
2021-09-11,BOS,CHW,46%,54%
2021-09-11,LAA,HOU,40%,60%
2021-09-11,KCR,MIN,46%,54%
2021-09-11,CIN,STL,48%,52%
2021-09-11,MIA,ATL,32%,68%
2021-09-11,TOR,BAL,64%,36%
2021-09-11,NYY,NYM,54%,46%
2021-09-11,SDP,LAD,32%,68%
2021-09-11,ARI,SEA,37%,63%
2021-09-12,TBR,DET,59%,41%
2021-09-12,TOR,BAL,61%,39%
2021-09-12,COL,PHI,35%,65%
2021-09-12,WSH,PIT,54%,46%
2021-09-12,MIL,CLE,61%,39%
2021-09-12,MIA,ATL,31%,69%
2021-09-12,BOS,CHW,47%,53%
2021-09-12,LAA,HOU,33%,67%
2021-09-12,KCR,MIN,38%,62%
2021-09-12,CIN,STL,54%,46%
2021-09-12,SFG,CHC,59%,41%
2021-09-12,TEX,OAK,36%,64%
2021-09-12,SDP,LAD,35%,65%
2021-09-12,ARI,SEA,40%,60%
2021-09-12,NYY,NYM,50%,50%
2021-09-13,MIN,NYY,39%,61%
2021-09-13,MIA,WSH,50%,50%
2021-09-13,TBR,TOR,50%,50%
2021-09-13,STL,NYM,48%,52%
2021-09-13,HOU,TEX,60%,40%
2021-09-13,SDP,SFG,44%,56%
2021-09-13,ARI,LAD,27%,73%
2021-09-13,BOS,SEA,50%,50%
2021-09-14,CLE,MIN,51%,49%
2021-09-14,CIN,PIT,59%,41%
2021-09-14,MIL,DET,56%,44%
2021-09-14,NYY,BAL,63%,37%
2021-09-14,CHC,PHI,40%,60%
2021-09-14,MIA,WSH,43%,57%
2021-09-14,TBR,TOR,50%,50%
2021-09-14,STL,NYM,42%,58%
2021-09-14,COL,ATL,40%,60%
2021-09-14,CLE,MIN,51%,49%
2021-09-14,HOU,TEX,64%,36%
2021-09-14,LAA,CHW,44%,56%
2021-09-14,OAK,KCR,61%,39%
2021-09-14,SDP,SFG,37%,63%
2021-09-14,ARI,LAD,28%,72%
2021-09-14,BOS,SEA,52%,48%
2021-09-15,MIA,WSH,50%,50%
2021-09-15,MIL,DET,61%,39%
2021-09-15,TBR,TOR,49%,51%
2021-09-15,BOS,SEA,51%,49%
2021-09-15,CIN,PIT,58%,42%
2021-09-15,NYY,BAL,57%,43%
2021-09-15,CHC,PHI,45%,55%
2021-09-15,STL,NYM,41%,59%
2021-09-15,COL,ATL,38%,62%
2021-09-15,CLE,MIN,49%,51%
2021-09-15,HOU,TEX,65%,35%
2021-09-15,LAA,CHW,43%,57%
2021-09-15,OAK,KCR,53%,47%
2021-09-15,SDP,SFG,47%,53%
2021-09-15,ARI,LAD,26%,74%
2021-09-16,COL,ATL,38%,62%
2021-09-16,CIN,PIT,58%,42%
2021-09-16,LAA,CHW,39%,61%
2021-09-16,OAK,KCR,49%,51%
2021-09-16,SDP,SFG,42%,58%
2021-09-16,NYY,BAL,63%,37%
2021-09-16,CHC,PHI,42%,58%
