game_date,away_team,home_team,away_ml_dk,home_ml_dk
2021-09-07,Twins,Indians,+115,-135
2021-09-07,Tigers,Pirates,-105,-115
2021-09-07,Mets,Marlins,-180,+155
2021-09-07,Blue Jays,Yankees,+190,-235
2021-09-07,Royals,Orioles,-120,+100
2021-09-07,Rays,Red Sox,-110,-110
2021-09-07,Nationals,Braves,+195,-240
2021-09-07,Reds,Cubs,-165,+145
2021-09-07,Phillies,Brewers,-105,-115
2021-09-07,Dodgers,Cardinals,-160,+140
2021-09-07,Mariners,Astros,+150,-170
2021-09-07,Giants,Rockies,-225,+185
2021-09-07,White Sox,Athletics,+115,-135
2021-09-07,Rangers,Diamondbacks,+145,-165
2021-09-07,Angels,Padres,+245,-310
