,Match_id,date,home_team,away_team,home_odds_538,away_odds_538,home_moneyline_dk,away_moneyline_dk,raw_home_odds_dk,raw_away_odds_dk,dk_total_padding_val,home_odds_dk,away_odds_dk,diff_pct_home,diff_pct_away,winnings_on_1_dollar_home,winnings_on_1_dollar_away,expected_outcome_home_538,expected_outcome_away_538
0,1,5/26,Angels,Orioles,60,40,-140,120,58.330000000000005,45.45,3.780000000000001,56.21000000000001,43.79,3.789999999999992,-3.789999999999999,1.71,2.2,1.026,0.88
1,2,5/26,Reds,Brewers,47,53,-105,-115,51.22,53.49,4.710000000000008,48.92,51.080000000000005,-1.9200000000000017,1.9199999999999946,1.95,1.87,0.9164999999999999,0.9911
2,3,5/26,White Sox,Blue Jays,47,53,-135,115,57.45,46.51,3.960000000000008,55.26,44.74,-8.259999999999998,8.259999999999998,1.74,2.15,0.8178,1.1395
3,4,5/26,Diamondbacks,Phillies,43,57,150,-170,40.0,62.96000000000001,2.960000000000008,38.85,61.150000000000006,4.149999999999999,-4.150000000000006,2.5,1.5899999999999999,1.075,0.9063
4,5,5/26,Cardinals,Pirates,60,40,-180,155,64.29,39.22,3.510000000000005,62.11,37.89,-2.1099999999999994,2.1099999999999994,1.56,2.55,0.936,1.02
5,6,5/26,Twins,Red Sox,37,63,250,-320,28.57,76.19,4.759999999999991,27.27,72.72999999999999,9.73,-9.72999999999999,3.5,1.31,1.295,0.8253
6,7,5/26,Rangers,Indians,38,62,130,-150,43.480000000000004,60.0,3.480000000000004,42.02,57.98,-4.020000000000003,4.020000000000003,2.3,1.67,0.8739999999999999,1.0353999999999999
7,8,5/26,Nationals,Marlins,50,50,-110,-110,52.38,52.38,4.760000000000005,50.0,50.0,0.0,0.0,1.9100000000000001,1.9100000000000001,0.955,0.955
8,9,5/26,Giants,Mets,49,51,-120,100,54.55,50.0,4.549999999999997,52.18000000000001,47.82,-3.180000000000007,3.1799999999999997,1.83,2.0,0.8967,1.02
9,10,5/26,Dodgers,Padres,58,42,-120,100,54.55,50.0,4.549999999999997,52.18000000000001,47.82,5.819999999999993,-5.82,1.83,2.0,1.0614,0.84
10,11,5/26,Yankees,Athletics,52,48,-125,105,55.559999999999995,48.78,4.340000000000003,53.25,46.75,-1.25,1.25,1.8,2.05,0.936,0.9839999999999999
11,12,5/26,Royals,Mariners,42,58,130,-150,43.480000000000004,60.0,3.480000000000004,42.02,57.98,-0.020000000000003126,0.020000000000003126,2.3,1.67,0.966,0.9686
